Order ID,Subject Address,Subject GLA,Subject Lot Size,Subject Bedrooms,Subject Bathrooms,Subject Property Type,Subject Stories,Effective Date,Comp Rank,Match Score,Candidate Address,Candidate GLA,Candidate Lot Size,Candidate Bedrooms,Candidate Bathrooms,Candidate Property Type,Candidate Stories,Sale Date,GLA Difference,Lot Size Difference,Bedroom Difference,Bathroom Difference,Same Property Type,Same Storey Type,Recent Sale (90 days),Recent Sale (180 days),Property Match Score,Size Similarity
4761433,N/A,2895.0,26700.0,4.0,3.0,Detached,1 Storey,2025-04-15,3,1.7%,N/A,2386.0,20648.0,3.0,2.5,Detached,1.5 Storey,2025-04-29,509 (21.3%),6052 (29.3%),1.0,0.5,1,0,1,1,0.70,0.16
4761446,N/A,1678.0,5663.0,3.0,2.0,Detached,Bungalow,2025-04-10,1,23.7%,N/A,1300.0,6600.0,3.0,2.0,Detached,2 Storey,2025-01-15,378 (29.1%),937 (14.2%),0.0,0.0,1,0,1,1,0.70,0.21
4761446,N/A,1678.0,5663.0,3.0,2.0,Detached,Bungalow,2025-04-10,2,22.4%,N/A,1335.0,6600.0,3.0,2.0,Detached,Split Level,2025-02-19,343 (25.7%),937 (14.2%),0.0,0.0,1,0,1,1,0.70,0.23
4761446,N/A,1678.0,5663.0,3.0,2.0,Detached,Bungalow,2025-04-10,3,11.2%,N/A,1300.0,6600.0,3.0,0.0,Detached,Split Level,2025-01-15,378 (29.1%),937 (14.2%),0.0,2.0,1,0,1,1,0.70,0.21
4759647,N/A,2264.0,33943.0,4.0,2.5,Detached,2 Storey,2025-04-10,1,97.2%,N/A,1825.0,53687.0,3.0,2.5,Detached,2 Storey,2025-04-30,439 (24.0%),19744 (36.8%),1.0,0.0,1,1,1,1,1.00,0.19
4759647,N/A,2264.0,33943.0,4.0,2.5,Detached,2 Storey,2025-04-10,2,86.0%,N/A,2160.0,57400.0,4.0,2.5,Detached,2 Storey,2024-11-18,104 (4.8%),23457 (40.9%),0.0,0.0,1,1,0,1,0.70,0.49
4759647,N/A,2264.0,33943.0,4.0,2.5,Detached,2 Storey,2025-04-10,3,82.5%,N/A,1664.0,82700.0,3.0,2.5,Detached,2 Storey,2025-02-14,600 (36.0%),48757 (59.0%),1.0,0.0,1,1,1,1,1.00,0.14
4759723,N/A,2530.0,5987.0,3.0,3.5,Detached,2 Storey,2025-04-09,1,95.5%,N/A,2488.0,5433.78,4.0,3.5,Detached,2 Storey,2025-01-16,42 (1.7%),553 (10.2%),1.0,0.0,1,1,1,1,1.00,0.70
4759723,N/A,2530.0,5987.0,3.0,3.5,Detached,2 Storey,2025-04-09,2,30.8%,N/A,2703.0,4746.0,4.0,4.0,Detached,2 Storey,2025-02-10,173 (6.4%),1241 (26.1%),1.0,0.5,1,1,1,1,1.00,0.37
4759723,N/A,2530.0,5987.0,3.0,3.5,Detached,2 Storey,2025-04-09,3,7.3%,N/A,2067.0,2856.0,3.0,3.0,Detached,2 Storey,2025-02-10,463 (22.4%),3131 (109.6%),0.0,0.5,1,1,1,1,1.00,0.18
4760530,N/A,2149.0,438082.92,4.0,3.5,Detached,Bungalow Raised,2025-04-14,1,9.9%,N/A,2250.0,3072.0,3.0,0.0,Townhouse,3 Storey,2024-12-04,101 (4.5%),435011 (14155.9%),1.0,3.5,0,0,0,1,0.00,0.50
4760530,N/A,2149.0,438082.92,4.0,3.5,Detached,Bungalow Raised,2025-04-14,2,3.4%,N/A,2125.0,,3.0,0.0,Condominium,2 Storey,2024-10-24,24 (1.1%),nan (nan%),1.0,3.5,0,0,0,1,0.00,0.81
4760530,N/A,2149.0,438082.92,4.0,3.5,Detached,Bungalow Raised,2025-04-14,3,3.1%,N/A,2125.0,,3.0,0.0,Condominium,2 Storey,2024-10-18,24 (1.1%),nan (nan%),1.0,3.5,0,0,0,1,0.00,0.81
4760630,N/A,1840.0,1742.0,4.0,1.0,Townhouse,2.5 Storey,2025-04-10,1,98.7%,N/A,2250.0,2014.0,5.0,0.0,Townhouse,2.5 Storey,2025-01-20,410 (18.2%),272 (13.5%),1.0,1.0,1,1,1,1,1.00,0.20
4760630,N/A,1840.0,1742.0,4.0,1.0,Townhouse,2.5 Storey,2025-04-10,2,75.9%,N/A,2000.0,2014.5,5.0,3.0,Townhouse,2.5 Storey,2025-01-20,160 (8.0%),272 (13.5%),1.0,2.0,1,1,1,1,1.00,0.38
4760630,N/A,1840.0,1742.0,4.0,1.0,Townhouse,2.5 Storey,2025-04-10,3,42.1%,N/A,1750.0,,6.0,0.0,Townhouse,2 Storey,2025-04-07,90 (5.1%),nan (nan%),2.0,1.0,1,0,1,1,0.70,0.53
