orderID,subj_gla,gla_clean,gla_diff,subj_lot_size,lot_size_clean,lot_size_diff,subj_bedrooms,bedrooms_clean,bedroom_diff,subj_bathrooms,bathrooms_clean,bathroom_diff,subj_room_count,room_count_clean,room_count_diff,subj_property_type,property_type_clean,same_property_type,subj_stories,stories_clean,same_storey_type,sale_date_clean,sold_recently_90,sold_recently_180
4760651,1354.0,1200.0,154.0,3250.0,3400.0,150.0,3.0,3.0,0.0,1.5,1.5,0.0,6.0,6.0,0.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-02-21,1,1
4760651,1354.0,1540.0,186.0,3250.0,3719.0,469.0,3.0,3.0,0.0,1.5,1.5,0.0,6.0,6.0,0.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-03-27,1,1
4760651,1354.0,1320.0,34.0,3250.0,3148.0,102.0,3.0,3.0,0.0,1.5,1.5,0.0,6.0,6.0,0.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2024-12-17,0,1
4760900,1573.4,1808.0,234.5999999999999,4058.028,3067.74,990.288,3.0,3.0,0.0,2.5,2.5,0.0,7.0,8.0,1.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-03-20,1,1
4760900,1573.4,1801.0,227.5999999999999,4058.028,3035.448,1022.5799999999999,3.0,3.0,0.0,2.5,2.5,0.0,7.0,6.0,1.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-02-12,1,1
4760900,1573.4,1640.0,66.59999999999991,4058.028,3379.8959999999997,678.1320000000001,3.0,3.0,0.0,2.5,2.5,0.0,7.0,7.0,0.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-03-10,1,1
4742669,839.592,1011.816,172.22400000000005,4639.284,5295.888,656.6040000000003,2.0,2.0,0.0,2.0,2.0,0.0,4.0,5.0,1.0,Detached,Detached,1.0,Bungalow,Bungalow,1.0,2024-11-22,0,1
4742669,839.592,1011.816,172.22400000000005,4639.284,5414.2919999999995,775.0079999999998,2.0,2.0,0.0,2.0,1.0,1.0,4.0,5.0,1.0,Detached,Detached,1.0,Bungalow,1.5 Storey,0.0,2025-01-24,1,1
4742669,839.592,839.592,0.0,4639.284,5392.764,753.4800000000005,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,Detached,Detached,1.0,Bungalow,Bungalow,1.0,2024-12-26,1,1
4752865,2974.0,2770.0,204.0,6512.219999999999,5532.696,979.5239999999994,4.0,4.0,0.0,2.5,2.5,0.0,8.0,8.0,0.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2024-11-01,0,1
