orderID,id,subject_address,subject_gla_clean,subject_bedrooms_clean,subject_bathrooms_clean,subject_room_count_clean,subject_lot_size_clean,subject_property_type_clean,subject_stories_clean,subject_effective_date_clean,candidate_address,candidate_gla_clean,candidate_bedrooms_clean,candidate_bathrooms_clean,candidate_room_count_clean,candidate_lot_size_clean,candidate_property_type_clean,candidate_stories_clean,candidate_close_date_clean,score,rank
4762406,299613,164 Redmonds Rd Seabright NS B3Z3C4,3332.0,5.0,2.5,10.0,42495.0,Detached,1.5 Storey,2025-04-17,Unit 50 256 Bailee Drive,1749.0,4.0,3.5,4.0,40436.0,Detached,2 Storey,2025-04-08,3.0896237,1.0
4762406,291150,164 Redmonds Rd Seabright NS B3Z3C4,3332.0,5.0,2.5,10.0,42495.0,Detached,1.5 Storey,2025-04-17,80 Old Halifax Road,1098.0,2.0,1.0,5.0,43560.0,Detached,1.5 Storey,2025-01-24,3.0002503,2.0
4762406,296938,164 Redmonds Rd Seabright NS B3Z3C4,3332.0,5.0,2.5,10.0,42495.0,Detached,1.5 Storey,2025-04-17,9295 Peggys Cove Road,1504.0,3.0,2.0,3.0,49455.0,Detached,1 Storey,2024-10-28,-2.3667285,3.0
4761220,204458,11 Bashir St Maple ON L6A3A3,1525.0,3.0,3.5,7.0,2619.0,Semi Detached,2 Storey,2025-04-14,106 Blackthorn Drive ,1775.0,4.0,0.0,7.0,2475.0,Semi Detached,2 Storey,2025-03-03,3.0002503,1.0
4761220,232436,11 Bashir St Maple ON L6A3A3,1525.0,3.0,3.5,7.0,2619.0,Semi Detached,2 Storey,2025-04-14,4 Cape Verde Way ,1598.0,3.0,0.0,6.0,2460.0,Semi Detached,2 Storey,2025-03-28,3.0002503,2.0
4761220,170103,11 Bashir St Maple ON L6A3A3,1525.0,3.0,3.5,7.0,2619.0,Semi Detached,2 Storey,2025-04-14,111 Fairmont Avenue ,2665.0,5.0,0.0,10.0,4056.0,Detached,2 Storey,2025-01-14,2.325651,3.0
4761433,297249,1368 Shore Dr Bedford NS B4A2E8,2895.0,4.0,3.0,10.0,26700.0,Detached,1 Storey,2025-04-15,9 Kennedy Court,1206.0,4.0,2.5,11.0,8776.0,Detached,Split Level,2025-01-31,-2.3667285,1.0
4761433,296402,1368 Shore Dr Bedford NS B4A2E8,2895.0,4.0,3.0,10.0,26700.0,Detached,1 Storey,2025-04-15,107 Shoreview Drive,1552.0,4.0,2.5,10.0,9840.0,Detached,Split Level,2025-03-18,-2.3667285,2.0
4761433,297849,1368 Shore Dr Bedford NS B4A2E8,2895.0,4.0,3.0,10.0,26700.0,Detached,1 Storey,2025-04-15,95 Millrun Crescent,2413.0,5.0,3.5,17.0,7400.0,Detached,Split Level,2025-03-18,-2.3667285,3.0
4761446,2783,5004 Fox Run Pl Kingston ON K7P0E4,1678.0,3.0,2.0,7.0,5663.0,Detached,Bungalow,2025-04-10,786 HIGH GATE PARK Dr,1300.0,3.0,2.0,7.0,6600.0,Detached,2 Storey,2025-01-15,3.0896237,1.0
