orderID,id,subj_gla,gla_clean,gla_diff,subj_lot_size,lot_size_clean,lot_size_diff,subj_property_type,property_type_clean,same_property_type,subj_stories,stories_clean,same_storey_type,subj_room_count,room_count_clean,room_count_diff,subj_bedrooms,bedrooms_clean,bedroom_diff,subj_bathrooms,bathrooms_clean,bathroom_diff,sold_recently_90,sold_recently_180,pred,close_price,rank
4759846,296474.0,1637.0,1269.0,368.0,6000.0,5775.0,225.0,Detached,Detached,1.0,Split Level,Split Level,1.0,7.0,9.0,2.0,3.0,5.0,2.0,1.5,2.0,0.5,1,1,0.24315974,580000.0,2
4759846,299429.0,1637.0,1510.0,127.0,6000.0,5427.0,573.0,Detached,Detached,1.0,Split Level,2 Storey,0.0,7.0,8.0,1.0,3.0,3.0,0.0,1.5,2.0,0.5,1,1,0.17671907,770000.0,3
4760530,266896.0,2149.0,2250.0,101.0,438082.92,4879.0,433203.92,Detached,Detached,1.0,Bungalow Raised,2 Storey,0.0,7.0,7.0,0.0,4.0,4.0,0.0,3.5,0.0,3.5,1,1,-0.797779,1443000.0,1
4760530,175036.0,2149.0,2250.0,101.0,438082.92,4935.0,433147.92,Detached,Detached,1.0,Bungalow Raised,Bungalow,0.0,7.0,7.0,0.0,4.0,3.0,1.0,3.5,0.0,3.5,0,1,-0.797779,1400000.0,2
4760530,174916.0,2149.0,2250.0,101.0,438082.92,5733.0,432349.92,Detached,Detached,1.0,Bungalow Raised,Bungalow,0.0,7.0,7.0,0.0,4.0,3.0,1.0,3.5,0.0,3.5,1,1,-0.797779,1475000.0,3
4760630,196003.0,1840.0,2250.0,410.0,1742.0,2014.0,272.0,Townhouse,Townhouse,1.0,2.5 Storey,2.5 Storey,1.0,8.0,9.0,1.0,4.0,5.0,1.0,1.0,0.0,1.0,1,1,0.5147678,890000.0,1
4760630,214625.0,1840.0,1750.0,90.0,1742.0,1785.0,43.0,Townhouse,Townhouse,1.0,2.5 Storey,2.5 Storey,1.0,8.0,10.0,2.0,4.0,5.0,1.0,1.0,0.0,1.0,1,1,0.3316641,770000.0,2
4760630,2741.0,1840.0,2000.0,160.0,1742.0,2014.5,272.5,Townhouse,Townhouse,1.0,2.5 Storey,2.5 Storey,1.0,8.0,9.0,1.0,4.0,5.0,1.0,1.0,3.0,2.0,1,1,0.250272,890000.0,3
4760651,299294.0,1354.0,913.0,441.0,3250.0,14500.0,11250.0,Detached,Detached,1.0,2 Storey,Bungalow,0.0,6.0,5.0,1.0,3.0,3.0,0.0,1.5,1.0,0.5,1,1,-0.020832898,450000.0,1
4760651,299346.0,1354.0,924.0,430.0,3250.0,5575.0,2325.0,Detached,Detached,1.0,2 Storey,Split Level,0.0,6.0,8.0,2.0,3.0,3.0,0.0,1.5,2.0,0.5,1,1,-0.056466036,525000.0,2
4760651,294470.0,1354.0,1268.0,86.0,3250.0,9534.0,6284.0,Detached,Detached,1.0,2 Storey,Split Level,0.0,6.0,4.0,2.0,3.0,3.0,0.0,1.5,2.0,0.5,1,1,-0.15606335,515000.0,3
4760900,68527.0,1573.4,1731.0,157.5999999999999,4058.028,2863.0,1195.0279999999998,Detached,Detached,1.0,2 Storey,2 Storey,1.0,7.0,8.0,1.0,3.0,3.0,0.0,2.5,2.5,0.0,1,1,0.79402155,626000.0,1
4760900,279376.0,1573.4,1526.0,47.40000000000009,4058.028,3056.0,1002.0279999999998,Detached,Detached,1.0,2 Storey,2 Storey,1.0,7.0,7.0,0.0,3.0,3.0,0.0,2.5,2.5,0.0,1,1,0.77681804,620000.0,2
4760900,287569.0,1573.4,1440.0,133.4000000000001,4058.028,2993.0,1065.0279999999998,Detached,Detached,1.0,2 Storey,2 Storey,1.0,7.0,7.0,0.0,3.0,3.0,0.0,2.5,2.5,0.0,1,1,0.7600436,605433.0,3
4761220,232436.0,1525.0,1598.0,73.0,2619.0,2460.0,159.0,Semi Detached,Semi Detached,1.0,2 Storey,2 Storey,1.0,7.0,6.0,1.0,3.0,3.0,0.0,3.5,0.0,3.5,1,1,-0.70181817,1040000.0,1
4761220,204458.0,1525.0,1775.0,250.0,2619.0,2475.0,144.0,Semi Detached,Semi Detached,1.0,2 Storey,2 Storey,1.0,7.0,7.0,0.0,3.0,4.0,1.0,3.5,0.0,3.5,1,1,-0.7434529,1200000.0,2
4761220,282053.0,1525.0,1750.0,225.0,2619.0,,,Semi Detached,Semi Detached,1.0,2 Storey,2 Storey,1.0,7.0,6.0,1.0,3.0,3.0,0.0,3.5,0.0,3.5,1,1,-0.7907275,1200000.0,3
4761433,299074.0,2895.0,1114.0,1781.0,26700.0,15000.0,11700.0,Detached,Detached,1.0,1 Storey,Bungalow,0.0,10.0,10.0,0.0,4.0,4.0,0.0,3.0,2.0,1.0,1,1,-0.115678065,565000.0,1
4761433,297249.0,2895.0,1206.0,1689.0,26700.0,8776.0,17924.0,Detached,Detached,1.0,1 Storey,Split Level,0.0,10.0,11.0,1.0,4.0,4.0,0.0,3.0,2.5,0.5,1,1,-0.18067856,658750.0,2
4761433,296402.0,2895.0,1552.0,1343.0,26700.0,9840.0,16860.0,Detached,Detached,1.0,1 Storey,Split Level,0.0,10.0,10.0,0.0,4.0,4.0,0.0,3.0,2.5,0.5,1,1,-0.18514192,596000.0,3
4761446,2783.0,1678.0,1300.0,378.0,5663.0,6600.0,937.0,Detached,Detached,1.0,Bungalow,2 Storey,0.0,7.0,7.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,1,1,0.03188227,495000.0,1
4761446,52.0,1678.0,900.0,778.0,5663.0,8250.0,2587.0,Detached,Detached,1.0,Bungalow,Bungalow Raised,0.0,7.0,10.0,3.0,3.0,2.0,1.0,2.0,2.0,0.0,1,1,-0.08216643,542000.0,2
4761446,2660.0,1678.0,1300.0,378.0,5663.0,7800.0,2137.0,Detached,Detached,1.0,Bungalow,3 Storey,0.0,7.0,5.0,2.0,3.0,3.0,0.0,2.0,2.0,0.0,1,1,-0.10973709,595000.0,3
4761696,77661.0,1751.0,1696.0,55.0,3358.0,1960.0,1398.0,Townhouse,Townhouse,1.0,2 Storey,2 Storey,1.0,7.0,8.0,1.0,3.0,3.0,0.0,2.5,3.0,0.5,1,1,0.3946435,630000.0,1
4761696,3314.0,1751.0,1663.0,88.0,3358.0,2100.0,1258.0,Townhouse,Townhouse,1.0,2 Storey,2 Storey,1.0,7.0,11.0,4.0,3.0,3.0,0.0,2.5,3.0,0.5,1,1,0.039767504,610000.0,2
4761696,77745.0,1751.0,,,3358.0,1470.0,1888.0,Townhouse,Townhouse,1.0,2 Storey,2 Storey,1.0,7.0,5.0,2.0,3.0,2.0,1.0,2.5,3.0,0.5,1,1,-0.39757708,500000.0,3
4762154,304007.0,1523.0,1010.0,513.0,,,,Condominium,Condominium,1.0,1 Storey,1 Storey,1.0,6.0,6.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1,1,0.16686377,,1
4762154,298175.0,1523.0,989.0,534.0,,,,Condominium,Condominium,1.0,1 Storey,1 Storey,1.0,6.0,4.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,1,1,0.06510574,483000.0,2
4762154,298372.0,1523.0,580.0,943.0,,,,Condominium,Condominium,1.0,1 Storey,1 Storey,1.0,6.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1,1,0.011238301,352000.0,3
4762330,274115.0,2456.0,2242.0,214.0,5909.436,19589.0,13679.564,Detached,Detached,1.0,2 Storey,2 Storey,1.0,10.0,11.0,1.0,4.0,4.0,0.0,2.5,2.5,0.0,1,1,0.5784464,969500.0,1
4762330,98442.0,2456.0,2527.0,71.0,5909.436,4968.0,941.4359999999996,Detached,Detached,1.0,2 Storey,2 Storey,1.0,10.0,10.0,0.0,4.0,4.0,0.0,2.5,3.5,1.0,1,1,0.5354697,799000.0,2
